Straight,Straight,Bend,Straight,Adapter,Straight,Bend,Honeycomb,Contraction,Straight,Straight,Bend,Straight,Bend,,,,,,,,,,Adapter,Straight,Bend,Straight,Bend,Honeycomb,Honeycomb,Straight,Contraction,Straight,Straight,Straight,Straight,Bend,Straight,Adapter,Straight,Bend,Straight
pipe,pipe,pipe,pipe,C2R,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,,,,,,,,,,C2R,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,R2C,pipe,pipe,pipe
500,0.82,0.82,2.588,0.615,0.124,0,0.203,0.75,2.13,1.36,0,3.448,0,,,,,,,,,,6.5,2.835,0,5.16,0,0.8,0.8,2.035,7.7,11,3,15.5,1.9,0,1.2,4,1.25,0,12.55
0.48,0.84,0.82,0.84,0.84,0.736,0.736,0.736,0.736,0.3,0.3,0.6,0.3,0.743,,,,,,,,,,4.76,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,1.6,1.6,1.7,3.2,3.2,3.2,3.2,3.2,3.2,3.2
0.48,0.84,0,0.84,0.736,0.736,0,0,0.3,0.3,0.3,0,0.743,0,,,,,,,,,,4.23,4.23,0,4.23,0,0,0,4.23,1.6,1.6,1.7,3.2,3.2,0,3.2,3.9,3.2,0,3.2
0,0,0,0,0,0.736,0.736,0.736,0.736,0.3,0.32,0.6,0.6,0.743,,,,,,,,,,0,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,1.6,1.6,1.7,3.2,3.2,3.2,3.2,0,0,0
0,0,0,0,0.736,0.736,0,0,0.3,0.32,0.6,0,0.743,0,,,,,,,,,,4.23,4.23,0,4.23,0,0,0,4.23,1.6,1.6,1.7,3.2,3.2,0,3.2,0,0,0,0
0,4.57,4.57,4.15,1.562,0.947,0.823,0.368,0.368,0.368,0.368,0.368,0.528,3.796,,,,,,,,,,11.6,11.6,11.6,9.43,4.27,2.115,2.115,2.115,2.115,0.8,0.8,0.85,1.6,1.6,3.2,4.4,8.4,9.65,11.6
0,4.57,4.15,1.562,0.947,0.823,0.368,0.368,0.368,0.368,0.368,0.528,3.796,4.57,,,,,,,,,,11.6,11.6,9.43,4.27,2.115,2.115,2.115,2.115,0.8,0.8,0.85,1.6,1.6,3.2,4.4,8.4,9.65,11.6,11.6
0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0
0,0,profiled_rounded_normal,0,0,0,thin_rounded,0.16,0,0,0,thin_rounded,0,thin_rounded,,,,,,,,,,0,0,thin_rounded,0,thin_rounded,0.4,0.4,0,0,0,0,0,0,thin_rounded,0,0,0,profiled_rounded_normal,0
0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.597,3.437,0,2.588,3.203,3.327,0,0.203,0.95,3.08,4.44,3.08,4.44,,,,,,,,,,15.5,22,24.835,0,5.16,0.03,0.02,1.6,0,0,11,14,29.5,31.4,0,1.2,5.2,6.45,0
