Intake,Bend,Straight,Bend,Straight,Mesh,Honeycomb,Mesh,Contraction,Straight,Bend,Straight,Remerge
3,arbitrary,pipe,pipe,pipe,pipe,pipe,pipe,pipe,pipe,pipe,pipe,35
0.1,0,0.7293,0,0.2,0.075,0.075,0.075,0.12,20,0,0.6,0.1
0.1,0.1,0.1,0.1,0.1,0.1414,0.1414,0.1414,0.1414,0.1,0.1,0.1,0.1
0,160,0.1,0,0.1414,0,0,0,0.1,0.1,0,0.1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.9,0.85,0.1207,0.0707,0.0707,0.0707,0.0707,0.0707,0.0707,0.0707,0.1207,0.7207
0.9,0.85,0.1207,0.0707,0.0707,0.0707,0.0707,0.0707,0.0707,0.0707,0.1207,0.7207,0.8207
30,0.1,0,0,0,0.0007,0.15,0.0002,0,0,0,0,30
0,0,0,0,0,0.002,0.001,0.0007,0,0,0,0,0
0,0,0,profiled_rounded_normal,0,0,0.02,0,0,0,profiled_rounded_normal,0,0
0,0,0,0,0,0,0.002,0,0,0,0,0,0
