Straight,Straight,Straight,Straight,Straight,Straight,Straight,Straight,Straight,Straight
pipe,pipe,pipe,pipe,pipe,pipe,pipe,pipe,pipe,pipe
100,26.5,10,10,10,10,10,10,10,10
1.1284,1.1284,1.1284,1.1284,1.1284,1.1284,1.1284,1.1284,1.1284,1.1284
1.1284,1.1284,1.1284,1.1284,1.1284,1.1284,1.1284,1.1284,1.1284,1.1284
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
